Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,ust_id
1,,Battery_Cell,BT1BT2,Battery_Cell,CH28-2032,2,,
2,,C,C15C21C27C33C39C45,1p,C_0805,6,,
3,,C,C1,22p,C_0805,1,,
4,,C,C9C13C19C25C31C37C43,1n,C_0805,7,,
5,,C,C10,2n2,C_0805,1,,
6,,C,C4C7C47C48C49C50C51C52C53C54,100n,C_0805,10,,
7,,C,C12C14C18C20C24C26C30C32C36C38C42C44,1u,C_0805,12,,
8,,C,C6C8C11C16C17C22C23C28C29C34C35C40C41C46,4u7,C_0805,14,,
9,,CP,C2C3C5,47u/16V,C_1210,3,,
10,,D,D3D4D5,1N4148,Diode-MiniMELF_Standard,3,,
11,,D_Photo,D6D7D8D9D10D11D12D13D14D15D16D17D18D19D20D21D22D23D24D25D26D27D28D29D30D31D32D33D34D35D36D37D38D39D40D41,D_Photo,PIND_universal,36,,
12,,LM4041,D2,LM4041CIM3-1.2,SOT-23,1,,
13,,D_Schottky,D1,STPS1L30U,D_SMB,1,,
14,,HEADER_2x06_PARALLEL,J2,OUT,Straight_2x06,1,,
15,,HEADER_2x03_PARALLEL,J1,POWER,Straight_2x03,1,,
16,,L,L1,10u,DJNR5040,1,,
17,,Q_NMOS_DGS,Q1Q2Q3Q4Q5Q6,BF862,SOT-23,6,,
18,,R,R5R6R8R9R15R21R27R33R39,1k,R_0805,9,,
19,,R,R12R14R18R20R24R26R30R32R36R38R42R44,3k3,R_0805,12,,
20,,R,R3R10R11R16R17R22R23R28R29R34R35R40R41,4k7,R_0805,13,,
21,,R,R7,22k,R_0805,1,,
22,,R,R4,120k,R_0805,1,,
23,,R,R2,470k,R_0805,1,,
24,,R,R13R19R25R31R37R43,10M,R_0805,6,,
25,,R,R1,100/10,R_0805,1,,
26,,APE8865NR-12-HF-3,U2,ISL21080DIH309Z-TK,SOT-23,1,,
27,,OP275,U4,OPA2314,SOIC-8_3.9x4.9mm_Pitch1.27mm,1,,
28,,MCP6001,U3U6U7U8U9U10U11,OPA314,SOT-23-5,7,https://www.ti.com/lit/ds/symlink/opa314.pdf,5c70984412875079b91f879a
29,,TPS6104,U1,TPS6104,SOT-23-5,1,,
30,,TS5A4594,U5,TS5A4594,SOT-23-5,1,,
