Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"BT1","Battery_Cell","CH28-2032",72.8980,-51.5620,0.0000,bottom
"BT2","Battery_Cell","CH28-2032",102.8700,-51.5620,0.0000,bottom
"C1","22p","C_0805",60.1980,-36.9570,180.0000,bottom
"C2","47u/16V","C_1210",52.3240,-42.7990,0.0000,bottom
"C3","47u/16V","C_1210",59.0550,-46.3550,0.0000,bottom
"C4","100n","C_0805",54.2290,-46.3550,90.0000,bottom
"C5","47u/16V","C_1210",59.0550,-42.5450,180.0000,bottom
"C6","4u7","C_0805",50.5460,-38.7350,-90.0000,bottom
"C7","100n","C_0805",53.3400,-52.9590,180.0000,bottom
"C8","4u7","C_0805",59.9440,-61.3410,0.0000,bottom
"C9","1n","C_0805",53.0860,-62.9920,180.0000,bottom
"C10","2n2","C_0805",59.6900,-69.0880,0.0000,bottom
"C11","4u7","C_0805",63.7540,-64.8970,-90.0000,bottom
"C12","1u","C_0805",69.9770,-64.8970,-90.0000,bottom
"C13","1n","C_0805",65.5320,-59.3090,-90.0000,bottom
"C14","1u","C_0805",64.5160,-33.5280,-90.0000,bottom
"C15","1p","C_0805",68.3260,-58.4200,180.0000,bottom
"C16","4u7","C_0805",68.3260,-56.7690,180.0000,bottom
"C17","4u7","C_0805",71.8820,-64.8970,-90.0000,bottom
"C18","1u","C_0805",77.9780,-64.8970,-90.0000,bottom
"C19","1n","C_0805",74.0410,-59.5630,-90.0000,bottom
"C20","1u","C_0805",72.7710,-33.5280,-90.0000,bottom
"C21","1p","C_0805",76.9620,-58.4200,180.0000,bottom
"C22","4u7","C_0805",76.5810,-56.7690,180.0000,bottom
"C23","4u7","C_0805",80.2640,-64.8970,-90.0000,bottom
"C24","1u","C_0805",86.3600,-64.8970,-90.0000,bottom
"C25","1n","C_0805",82.5500,-59.4360,-90.0000,bottom
"C26","1u","C_0805",81.0260,-33.5280,-90.0000,bottom
"C27","1p","C_0805",85.3440,-58.4200,180.0000,bottom
"C28","4u7","C_0805",84.9630,-56.7690,180.0000,bottom
"C29","4u7","C_0805",88.3920,-64.8970,-90.0000,bottom
"C30","1u","C_0805",94.6150,-65.0240,-90.0000,bottom
"C31","1n","C_0805",90.8050,-59.4360,-90.0000,bottom
"C32","1u","C_0805",89.2810,-33.5280,-90.0000,bottom
"C33","1p","C_0805",93.5990,-58.4200,180.0000,bottom
"C34","4u7","C_0805",93.2180,-56.7690,180.0000,bottom
"C35","4u7","C_0805",96.7740,-65.0240,-90.0000,bottom
"C36","1u","C_0805",102.8700,-65.0240,-90.0000,bottom
"C37","1n","C_0805",99.0600,-59.5630,-90.0000,bottom
"C38","1u","C_0805",97.5360,-33.5280,-90.0000,bottom
"C39","1p","C_0805",101.8540,-58.4200,180.0000,bottom
"C40","4u7","C_0805",101.4730,-56.7690,180.0000,bottom
"C41","4u7","C_0805",105.1560,-65.0240,-90.0000,bottom
"C42","1u","C_0805",111.1250,-65.0240,-90.0000,bottom
"C43","1n","C_0805",107.3150,-59.5630,-90.0000,bottom
"C44","1u","C_0805",105.7910,-33.5280,-90.0000,bottom
"C45","1p","C_0805",110.1090,-58.4200,180.0000,bottom
"C46","4u7","C_0805",109.7280,-56.7690,180.0000,bottom
"C47","100n","C_0805",56.8960,-67.0560,-90.0000,bottom
"C48","100n","C_0805",49.7840,-52.9590,0.0000,bottom
"C49","100n","C_0805",70.1040,-62.2300,0.0000,bottom
"C50","100n","C_0805",78.4860,-62.2300,0.0000,bottom
"C51","100n","C_0805",86.8680,-62.2300,0.0000,bottom
"C52","100n","C_0805",95.1230,-62.2300,0.0000,bottom
"C53","100n","C_0805",103.5050,-62.2300,0.0000,bottom
"C54","100n","C_0805",111.7600,-62.3570,0.0000,bottom
"D1","STPS1L30U","D_SMB",59.4360,-33.6550,180.0000,bottom
"D2","LM4041CIM3-1.2","SOT-23",51.3080,-50.1650,-90.0000,bottom
"D3","1N4148","Diode-MiniMELF_Standard",56.7690,-62.3570,-90.0000,bottom
"D4","1N4148","Diode-MiniMELF_Standard",54.2290,-66.5480,-90.0000,bottom
