Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"D6","D_Photo","PIND_universal",67.1830,-43.1800,0.0000,top
"D7","D_Photo","PIND_universal",67.1830,-38.1000,0.0000,top
"D8","D_Photo","PIND_universal",67.1830,-53.3400,0.0000,top
"D9","D_Photo","PIND_universal",67.1830,-63.5000,0.0000,top
"D10","D_Photo","PIND_universal",67.1830,-48.2600,0.0000,top
"D11","D_Photo","PIND_universal",67.1830,-58.4200,0.0000,top
"D12","D_Photo","PIND_universal",75.4380,-38.1000,0.0000,top
"D13","D_Photo","PIND_universal",75.4380,-43.1800,0.0000,top
"D14","D_Photo","PIND_universal",75.4380,-48.2600,0.0000,top
"D15","D_Photo","PIND_universal",75.4380,-63.5000,0.0000,top
"D16","D_Photo","PIND_universal",75.4380,-53.3400,0.0000,top
"D17","D_Photo","PIND_universal",75.4380,-58.4200,0.0000,top
"D18","D_Photo","PIND_universal",83.6930,-38.1000,0.0000,top
"D19","D_Photo","PIND_universal",83.6930,-43.1800,0.0000,top
"D20","D_Photo","PIND_universal",83.6930,-48.2600,0.0000,top
"D21","D_Photo","PIND_universal",83.6930,-63.5000,0.0000,top
"D22","D_Photo","PIND_universal",83.6930,-53.3400,0.0000,top
"D23","D_Photo","PIND_universal",83.6930,-58.4200,0.0000,top
"D24","D_Photo","PIND_universal",91.9480,-58.4200,0.0000,top
"D25","D_Photo","PIND_universal",91.9480,-53.3400,0.0000,top
"D26","D_Photo","PIND_universal",91.9480,-43.1800,0.0000,top
"D27","D_Photo","PIND_universal",91.9480,-63.5000,0.0000,top
"D28","D_Photo","PIND_universal",91.9480,-48.2600,0.0000,top
"D29","D_Photo","PIND_universal",91.9480,-38.1000,0.0000,top
"D30","D_Photo","PIND_universal",100.2030,-58.4200,0.0000,top
"D31","D_Photo","PIND_universal",100.2030,-53.3400,0.0000,top
"D32","D_Photo","PIND_universal",100.2030,-63.5000,0.0000,top
"D33","D_Photo","PIND_universal",100.2030,-43.1800,0.0000,top
"D34","D_Photo","PIND_universal",100.2030,-48.2600,0.0000,top
"D35","D_Photo","PIND_universal",100.2030,-38.1000,0.0000,top
"D36","D_Photo","PIND_universal",108.4580,-38.1000,0.0000,top
"D37","D_Photo","PIND_universal",108.4580,-43.1800,0.0000,top
"D38","D_Photo","PIND_universal",108.4580,-48.2600,0.0000,top
"D39","D_Photo","PIND_universal",108.4580,-53.3400,0.0000,top
"D40","D_Photo","PIND_universal",108.4580,-58.4200,0.0000,top
"D41","D_Photo","PIND_universal",108.4580,-63.5000,0.0000,top
"J1","POWER","Straight_2x03",45.7200,-42.5450,-90.0000,top
"J2","OUT","Straight_2x06",44.4500,-53.9750,0.0000,top
"M1","HOLE","MountingHole_3mm",116.8400,-66.0400,0.0000,top
"M2","HOLE","MountingHole_3mm",116.8400,-35.5600,0.0000,top
"M3","HOLE","MountingHole_3mm",45.7200,-35.5600,0.0000,top
"M4","HOLE","MountingHole_3mm",45.7200,-66.0400,0.0000,top
